"search-number","evaluation","maxspeed*","prob-harvest*","nr-repeats*","movement*","trust_inequality*","sigma*","sigma2*","timecrazy*","adjustmentrate*","adjustmentrate_harvest*","num-replicates","best-fitness-so-far"
"1","30","5","0.41000000000000003","41","""cost-benefit""","0","0.54","0.95","214","0.21","0.54","30","0.5453521641655037"
"1","60","5","0.72","41","""cost-benefit""","2.2E-4","0.8400000000000001","0.88","218","0.71","0.76","30","0.7260509977641996"
"1","570","5","0.75","41","""cost-benefit""","4.0E-4","0.73","0.99","178","0","0.9199999999999999","30","0.7380452692498339"
"1","840","5","0.8500000000000001","41","""cost-benefit""","7.9E-4","0.89","0.8500000000000001","189","0.87","0.7","30","0.7573063790558573"
"1","1620","5","0.9","41","""cost-benefit""","3.5000000000000005E-4","0.88","0.98","195","0.87","0.64","30","0.8083170593699041"
"1","3570","5","0.9","41","""cost-benefit""","3.2E-4","0.88","0.98","195","0.87","0.64","30","0.8101376781246533"
"1","4170","5","0.9","41","""cost-benefit""","3.2E-4","0.88","0.98","189","0.87","0.7","30","0.8125748225971682"
"1","6330","5","0.9","41","""cost-benefit""","3.2E-4","0.88","0.66","195","0.87","0.7","30","0.8140487636764873"
"1","7530","5","0.9","41","""cost-benefit""","3.2E-4","0.88","0.66","196","0.87","0.7","30","0.815358080695365"
"1","8340","5","0.69","41","""cost-benefit""","3.2E-4","0.88","0.66","195","0.87","0.67","30","0.8163909306775426"
"1","11310","5","0.93","41","""cost-benefit""","3.2E-4","0.89","0.66","195","0.87","0.72","30","0.8164896640832746"
"1","11340","5","0.69","41","""cost-benefit""","2.4000000000000003E-4","0.88","0.66","195","0.86","0.66","30","0.8202919719796499"
"1","11610","5","0.69","41","""cost-benefit""","2.4000000000000003E-4","0.88","0.66","195","0.86","0.67","30","0.8216499464515337"
"1","16230","5","0.69","41","""cost-benefit""","2.3E-4","0.89","0.7","196","0.86","0.66","30","0.8217452464881438"
"1","17250","5","0.69","41","""cost-benefit""","2.3E-4","0.89","0.62","195","0.86","0.66","30","0.8219797316816103"
"1","18660","5","0.74","41","""cost-benefit""","2.0E-4","0.89","0.62","194","0.86","0.66","30","0.8224887401081508"
"1","19380","5","0.74","41","""cost-benefit""","2.0E-4","0.89","0.66","194","0.86","0.66","30","0.8230198363707817"
"1","20730","5","0.74","41","""cost-benefit""","2.0E-4","0.89","0.62","195","0.86","0.66","30","0.8238970835296092"
"1","22320","5","0.74","41","""cost-benefit""","1.9E-4","0.89","0.66","194","0.86","0.66","30","0.8240546998910478"
