"search-number","evaluation","maxspeed*","A-prob-harvest*","B-prob-harvest*","nr-repeats*","movement*","A-trust_inequality*","B-trust_inequality*","A-sigma*","B-sigma*","A-sigma2*","B-sigma2*","A-timecrazy*","B-timecrazy*","A-adjustmentrate*","B-adjustmentrate*","A-adjustmentrate_harvest*","B-adjustmentrate_harvest*","shareA*","fitness","num-replicates","best-fitness-so-far"
"1","1","5","0.43000000000000005","0.93","41","""cost-benefit""","5.600000000000001E-4","1.7E-4","0.59","0.9299999999999999","0.5","0.8200000000000001","138","229","0.12","0.34","0.9299999999999999","0.96","0.25","0.6430802802403026","1","0.6430802802403026"
"1","2","5","0.78","0.8200000000000001","41","""cost-benefit""","1.7E-4","9.500000000000001E-4","0.76","0.89","0.8","0.9199999999999999","159","215","0.79","0.38","0.75","0.5700000000000001","0.37","0.5108831945734332","1","0.6430802802403026"
"1","3","5","0.61","0.92","41","""cost-benefit""","1.9E-4","4.7000000000000004E-4","0.7","0.88","0.7","0.53","145","168","0.28","0.77","0.77","0.65","0.22","0.5141264675557082","1","0.6430802802403026"
"1","4","5","0.6000000000000001","0.61","41","""cost-benefit""","1.9E-4","9.800000000000002E-4","0.66","0.58","0.8","0.54","143","214","0.16","0.86","0.8","0.51","0.66","0.5442300045202357","1","0.6430802802403026"
"1","5","5","0.62","0.68","41","""cost-benefit""","3.0000000000000004E-5","2.9E-4","0.8","0.62","0.99","0.8200000000000001","226","181","0.5700000000000001","0.71","0.73","0.89","0.6000000000000001","0.6525294399943179","1","0.6525294399943179"
"1","6","5","0.5800000000000001","1","41","""cost-benefit""","8.100000000000001E-4","2.9E-4","0.5700000000000001","0.52","0.6799999999999999","0.59","135","231","0.89","0.39","0.66","0.81","0.5700000000000001","0.5522925902089004","1","0.6525294399943179"
"1","7","5","0.68","0.9500000000000001","41","""cost-benefit""","1.9E-4","4.0E-4","0.6799999999999999","0.77","0.54","0.58","134","216","0.79","0.77","0.8","0.95","0.28","0.5790256004271541","1","0.6525294399943179"
"1","8","5","0.47000000000000003","0.5900000000000001","41","""cost-benefit""","3.0000000000000003E-4","8.0E-5","0.7","0.8500000000000001","0.54","0.74","157","183","0.23","0.54","0.62","0.58","0.65","0.5380740023342042","1","0.6525294399943179"
"1","9","5","0.53","0.73","41","""cost-benefit""","0.001","6.000000000000001E-4","0.89","0.58","0.58","0.8","237","211","0.66","1","0.76","0.77","0.42000000000000004","0.6942515013561195","1","0.6942515013561195"
"1","10","5","0.76","0.52","41","""cost-benefit""","5.0E-4","2.0E-5","0.77","0.73","0.94","0.9199999999999999","231","145","0.9","0.5700000000000001","0.87","0.5700000000000001","0.46","0.682247195384223","1","0.6942515013561195"
